Setting,SERVICES,SERVICE_DATA,AVG_SUCC_RATE_OUR,AVG_SUCC_RATE_SOA,AVG_SATISFACTION
G1.1.X,46.25,46.25,0.6618333333333334,0.0,0.5970919998235723
G1.2.X,46.25,46.25,0.982625,0.0,0.7764164968232645
G1.3.X,46.25,46.25,0.9394583333333334,0.0,0.6976224831376472
G2.1.X,46.25,46.25,0.6536249999999999,0.0,0.5818216967757524
G2.2.X,46.25,46.25,0.9802916666666667,0.0,0.7730022951779922
G2.3.X,46.25,46.25,0.9374166666666667,0.0,0.6927019292997422
G3.1.X,46.25,46.25,0.6625833333333333,0.0,0.5922005634338289
G3.2.X,46.25,46.25,0.9775833333333334,0.0,0.7767693234617105
G3.3.X,46.25,46.25,0.9370416666666667,0.0,0.6977196552985272
G4.1.X,46.25,46.25,0.68775,0.0,0.6099001571213503
G4.2.X,46.25,46.25,0.9820000000000001,0.0,0.7807797147558774
G4.3.X,46.25,46.25,0.9505416666666666,0.0,0.702005381313575
